name,id,nametype,recclass,mass,fall,year,reclat,reclong,long_mercator,lat_mercator,log_mass,is_outlier
Barcelona (stone),4944,Valid,OC,548.0,Fell,1704.0,41.36667,2.16667,241192.60111706206,5066576.773420301,2.7387805592768775,0
Castrovillari,5295,Valid,Stone-uncl,15000.0,Fell,1583.0,39.8,16.2,1803375.7508510319,4836921.246399851,4.176091259084634,0
Elbogen,7823,Valid,"Iron, IID",107000.0,Fell,1399.0,50.18333,12.73333,1417467.8117027143,6478086.111016831,5.029383777689269,0
Ensisheim,10039,Valid,LL6,127000.0,Fell,1491.0,47.86667,7.35,818198.2573305608,6084702.067671522,5.103803720959377,0
Fünen,10838,Valid,Stone-uncl,1915.0,Fell,1654.0,55.33333,10.33333,1150301.0337988576,7426829.286516623,3.2821687785314273,0
Hatford,11855,Valid,Stone-uncl,29000.0,Fell,1628.0,51.65,-1.51667,-168834.93210143424,6737086.695502411,4.462397997913932,0
Hraschina,11916,Valid,"Iron, IID",49000.0,Fell,1751.0,46.1,16.33333,1818217.9785584991,5796388.797364677,4.690196080037377,0
Jalandhar,12069,Valid,Iron,1967.0,Fell,1621.0,31.0,75.0,8348961.809495519,3632749.143384427,3.2938043601401272,0
Minamino,16692,Valid,L,1040.0,Fell,1632.0,35.07833,136.93333,15243348.568227295,4174530.979672933,3.017033339716371,0
Mount Vaisi,16805,Valid,Stone-uncl,17000.0,Fell,1637.0,44.08333,6.86667,764394.2078454479,5478346.761530187,4.230448921403821,0
Narni,16914,Valid,Stone-uncl,1915.0,Fell,920.0,42.51667,12.51667,1393349.3308274436,5238691.07728709,3.2821687785314273,0
Nicorps,16970,Valid,Stone-uncl,1915.0,Fell,1750.0,49.03333,-1.43333,-159557.56573872283,6280518.691092494,3.2821687785314273,0
Nogata,16988,Valid,L6,472.0,Fell,860.0,33.725,130.75,14555023.42122052,3991935.747008733,2.673941999554203,0
Novy-Ergi,17934,Valid,Stone-uncl,1915.0,Fell,1662.0,58.55,31.33333,3488010.340457603,8083753.817596259,3.2821687785314273,0
Ogi,17994,Valid,H6,14360.0,Fell,1741.0,33.28333,130.2,14493797.701284219,3932971.950649133,4.157154439936525,0
Oliva-Gandia,18012,Valid,Stone-uncl,1915.0,Fell,1519.0,39.0,-0.03333,-3710.2786281398085,4721671.572580107,3.2821687785314273,0
Ortenau,18033,Valid,Stone-uncl,4500.0,Fell,1671.0,48.5,8.0,890555.9263461886,6190443.809135449,3.6532125138718534,0
Ploschkovitz,18849,Valid,L5,39.0,Fell,1723.0,50.53333,14.11667,1571460.5160966814,6539156.6813057335,1.591064618162255,0
Rasgrad,22396,Valid,Stone-uncl,24700.0,Fell,1740.0,43.5,26.53333,2953676.7846498895,5388389.272819325,4.392696953277248,0
Rivolta de Bassi,22614,Valid,Stone-uncl,103.3,Fell,1490.0,45.48333,9.51667,1059390.8584476227,5697935.56909895,2.0141003257238266,0
Sagan,22796,Valid,Stone-uncl,1915.0,Fell,1636.0,51.53333,14.88333,1656804.7169082526,6716181.410821653,3.2821687785314273,0
Sasagase,23187,Valid,H,695.0,Fell,1688.0,34.71667,137.78333,15337970.135401577,4125444.07917495,2.841984805214998,0
Schellin,23457,Valid,L,7000.0,Fell,1715.0,53.35,15.05,1675358.3364387674,7048002.689099367,3.845098040076299,0
Stolzenau,23726,Valid,Stone-uncl,1915.0,Fell,1647.0,52.53333,9.05,1007441.391679126,6897138.834798327,3.2821687785314273,0
Stretchleigh,23732,Valid,Stone-uncl,10400.0,Fell,1623.0,50.38333,-3.95,-439711.9886334307,6512928.416723681,4.017033339340539,0
Vago,24143,Valid,H6,40.0,Fell,1668.0,45.41667,11.13333,1239356.6264334766,5687357.912466703,1.6020600021853242,0
Valdinoce,24146,Valid,Stone-uncl,1915.0,Fell,1495.0,44.06667,12.1,1346965.8385986104,5475765.322769693,3.2821687785314273,0
Campo del Cielo,5247,Valid,"Iron, IAB-MG",50000000.0,Found,1575.0,-27.46667,-60.58333,-6744105.446160855,-3181897.9651982114,7.698970004336028,1
Krasnojarsk,12356,Valid,"Pallasite, PMG-an",700000.0,Found,1749.0,54.9,91.8,10219129.254822515,7342482.290188269,5.845098040014877,0
Morito,16745,Valid,"Iron, IIIAB",10100000.0,Found,1600.0,27.05,-105.43333,-11736784.608239176,3129719.9783859923,7.004321373782686,1
Siratik,23615,Valid,"Iron, IIAB",1700.0,Found,1716.0,14.0,-11.0,-1224514.3987260093,1574216.548161465,3.2304489216337413,0
Steinbach,23722,Valid,"Iron, IVA-an",98000.0,Found,1724.0,50.5,12.5,1391493.6349159197,6533321.5678379275,4.991226075696926,0
