name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass
Hammadah al Hamra 287,11770,Valid,LL6,620.0,Found,2000.0,28.99025,12.93858,2.7923916901987287
Dhofar 1023,6825,Valid,L(LL)3,69.7,Found,2001.0,19.28813,54.52832,1.8432327843289202
Pecora Escarpment 91214,18505,Valid,L6,247.3,Found,1991.0,-85.68622,-68.78279,2.3932241181174416
Grove Mountains 050003,48136,Valid,LL6,6.4,Found,2005.0,-73.094444,75.203333,0.8061800418423947
Dar al Gani 721,6268,Valid,L3/4,43.0,Found,1999.0,27.06667,16.06667,1.633468465679458
Queen Alexandra Range 97456,20912,Valid,H6,3.8,Found,1997.0,-84.0,168.0,0.5797837109048167
Grove Mountains 022503,50028,Valid,H6,0.45,Found,2003.0,-72.77444,75.31944,-0.34678652112688
Northwest Africa 7575,56424,Valid,LL6,246.0,Found,2012.0,0.0,0.0,2.390935108868804
Yamato 984002,40622,Valid,L6,21.23,Found,1998.0,0.0,0.0,1.326950014622639
Elephant Moraine 87570,8120,Valid,L5,307.7,Found,1987.0,-76.18333,157.16667,2.4881274976588803
Dhofar 1178,33881,Valid,LL4,732.0,Found,2005.0,18.86975,54.840111,2.86451108165169
Grove Mountains 021893,47876,Valid,H4,0.56,Found,2003.0,-72.778056,75.326667,-0.2518111974686314
Grove Mountains 021838,47867,Valid,L6,0.99,Found,2003.0,-72.781944,75.323056,-0.00436436672137678
Grove Mountains 022188,47917,Valid,L6,9.68,Found,2003.0,-72.781111,75.292222,0.9858754021735238
Miller Range 090511,54303,Valid,H6,0.5,Found,2009.0,0.0,0.0,-0.30102912707588597
Yamato 793037,28386,Valid,E3,0.96,Found,1979.0,-71.5,35.66667,-0.017728314570581893
Allan Hills A78238,1851,Valid,L3.5,9.8,Found,1978.0,-76.71667,159.66667,0.991226120008256
Asuka 881346,4055,Valid,L6,173.32,Found,1988.0,-72.0,26.0,2.238848682868075
Dar al Gani 960,6500,Valid,L6,392.0,Found,1999.0,26.87567,16.68033,2.5932860681283514
Yamato 8326,29431,Valid,H5,1.34,Found,1983.0,-71.5,35.66667,0.12710512246504632
Elephant Moraine 96276,9867,Valid,L6,8.3,Found,1996.0,-76.18333,157.16667,0.9190781447007071
Yamato 981393,38015,Valid,H5,5.03,Found,1998.0,0.0,0.0,0.7015680713967701
