name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass,is_outlier
Aachen,1,Valid,L5,21.0,Fell,1880.0,50.775,6.08333,1.3222193154146085,0
Aarhus,2,Valid,H6,720.0,Fell,1951.0,56.18333,10.23333,2.8573324970344554,0
Abee,6,Valid,EH4,107000.0,Fell,1952.0,54.21667,-113.0,5.029383777689269,0
Achiras,370,Valid,L6,780.0,Fell,1902.0,-33.16667,-64.95,2.8920946032472683,0
Adhi Kot,379,Valid,EH4,4239.0,Fell,1919.0,32.1,71.8,3.627263416670673,0
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,1949.0,44.83333,95.16667,2.95904139279834,0
Agen,392,Valid,H5,30000.0,Fell,1814.0,44.21667,0.61667,4.477121254734139,0
Aguada,398,Valid,L6,1620.0,Fell,1930.0,-31.6,-65.23333,3.209515014810714,0
Aguila Blanca,417,Valid,L,1440.0,Fell,1920.0,-30.86667,-64.55,3.158362492396843,0
Aïr,424,Valid,L6,24000.0,Fell,1925.0,19.08333,8.38333,4.380211241729701,0
Aire-sur-la-Lys,425,Valid,Unknown,29.2,Fell,1769.0,50.66667,2.33333,1.4653828663215167,0
Akaba,426,Valid,L6,779.0,Fell,1949.0,29.51667,35.05,2.891537458230067,0
Akbarpur,427,Valid,H4,1800.0,Fell,1838.0,29.71667,77.95,3.255272505344581,0
Akwanga,432,Valid,H,3000.0,Fell,1959.0,8.91667,8.43333,3.4771212548644272,0
Al Rais,446,Valid,CR2-an,160.0,Fell,1957.0,24.41667,39.51667,2.2041199853702653,0
Alais,448,Valid,CI1,6000.0,Fell,1806.0,44.11667,4.08333,3.778151250456026,0
Albareto,453,Valid,L/LL4,2000.0,Fell,1766.0,44.65,11.01667,3.3010299958811284,0
Alberta,454,Valid,L,625.0,Fell,1949.0,2.0,22.66667,2.7958800180389463,0
Aldsworth,461,Valid,LL5,700.0,Fell,1835.0,51.78333,-1.78333,2.8450980406346775,0
Aleppo,462,Valid,L6,3200.0,Fell,1873.0,36.23333,37.13333,3.505149978455623,0
Alessandria,463,Valid,H5,908.0,Fell,1860.0,44.88333,8.75,2.958085848999383,0
Alexandrovsky,465,Valid,H4,9251.0,Fell,1900.0,50.95,31.81667,3.966188681003083,0
Alfianello,466,Valid,L6,228000.0,Fell,1883.0,45.26667,10.15,5.357934847002358,0
Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,4.505149978333478,0
Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,6.301029995664198,1
Ambapur Nagla,2290,Valid,H5,6400.0,Fell,1895.0,27.66667,78.25,3.8061799740517457,0
Andhara,2294,Valid,Stone-uncl,2700.0,Fell,1880.0,26.58333,85.56667,3.431363764319837,0
Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,3.505149978455623,0
Andreevka,2296,Valid,L3,600.0,Fell,1969.0,48.7,37.5,2.778151251107468,0
Andura,2298,Valid,H6,17900.0,Fell,1939.0,20.88333,76.86667,4.252853031004156,0
Angers,2301,Valid,L6,33.0,Fell,1822.0,47.46667,-0.55,1.518513953038326,0
Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,1869.0,-22.96667,-44.31667,3.176091259345211,0
Ankober,2304,Valid,H4,6500.0,Fell,1942.0,9.53333,39.71667,3.8129133567096702,0
Anlong,2305,Valid,H5,2500.0,Fell,1971.0,25.15,105.18333,3.3979400088457554,0
Appley Bridge,2318,Valid,LL6,15000.0,Fell,1914.0,53.58333,-2.71667,4.176091259084634,0
Apt,2320,Valid,L6,3200.0,Fell,1803.0,43.86667,5.38333,3.505149978455623,0
Arbol Solo,2325,Valid,H5,810.0,Fell,1954.0,-33.0,-66.0,2.9084850194148157,0
Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,3.7050079594189955,0
Arroyo Aguiar,2340,Valid,H5,7450.0,Fell,1950.0,-31.41667,-60.66667,3.8721562728065875,0
Asco,2345,Valid,H6,41.0,Fell,1805.0,42.45,9.03333,1.6127838673122836,0
Ashdon,2346,Valid,L6,1300.0,Fell,1923.0,52.05,0.3,3.1139433526409093,0
Assisi,2353,Valid,H5,2000.0,Fell,1886.0,43.03333,12.55,3.3010299958811284,0
Atarra,4883,Valid,L4,1280.0,Fell,1920.0,25.25417,80.625,3.107209969987161,0
Atemajac,4884,Valid,L6,94.2,Fell,1896.0,20.06667,-103.66667,1.9740509074032222,0
Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,2.4232458755756547,0
Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,3.1411988452184882,0
Aubres,4893,Valid,Aubrite,800.0,Fell,1836.0,44.38333,5.16667,2.9030899875348117,0
Aumale,4899,Valid,L6,50000.0,Fell,1865.0,36.16667,3.66667,4.698970004344705,0
Aumieres,4900,Valid,L6,2000.0,Fell,1842.0,44.33333,3.23333,3.3010299958811284,0
Ausson,4903,Valid,L5,50000.0,Fell,1858.0,43.08333,0.58333,4.698970004344705,0
Avanhandava,4905,Valid,H4,9330.0,Fell,1952.0,-21.46028,-49.95083,3.969881643793048,0
Avce,4906,Valid,"Iron, IIAB",1230.0,Fell,1908.0,46.0,13.5,3.0899051117924827,0
Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,2.164352858759057,0
Awere,4910,Valid,L4,134.0,Fell,1968.0,2.71667,32.83333,2.127104801605811,0
Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,3.451786435677751,0
Bachmut,4917,Valid,L6,18000.0,Fell,1814.0,48.6,38.0,4.255272505127434,0
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,4.013763854776007,0
Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,3.5682017241843718,0
Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,2.5378190963320986,0
Bali,4928,Valid,CV3,1000.0,Fell,1907.0,5.38333,16.38333,3.0000000004342944,0
Bandong,4935,Valid,LL6,11500.0,Fell,1871.0,-6.91667,107.6,4.060697840391376,0
Bansur,4936,Valid,L6,15000.0,Fell,1892.0,27.7,76.33333,4.176091259084634,0
Banswal,4937,Valid,L5,14.0,Fell,1913.0,30.4,78.2,1.1461280666992713,0
Banten,4938,Valid,CM2,629.0,Fell,1933.0,-6.33333,106.0,2.7986506461357212,0
Barbotan,4942,Valid,H5,6400.0,Fell,1790.0,43.95,-0.05,3.8061799740517457,0
Barea,4946,Valid,Mesosiderite-A1,3200.0,Fell,1842.0,42.38333,-2.5,3.505149978455623,0
Barnaul,4947,Valid,H5,23.2,Fell,1904.0,52.73333,84.08333,1.365488003610489,0
Barntrup,4948,Valid,LL4,17.0,Fell,1886.0,52.0,9.1,1.2304489469250075,0
Baroti,4949,Valid,L6,4500.0,Fell,1910.0,31.61667,76.8,3.6532125138718534,0
Barwell,4954,Valid,L5,44000.0,Fell,1965.0,52.56528,-1.33972,4.643452676496057,0
Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,4.3222192947546,0
Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,4.934498451248618,0
Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,2.7860412109533472,0
Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,4.204119982683068,0
Beaver Creek,4986,Valid,H5,14000.0,Fell,1893.0,51.16667,-117.33333,4.146128035709259,0
Beddgelert,4993,Valid,H5,794.0,Fell,1949.0,53.01667,-4.1,2.8998205029740665,0
Bells,5005,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,2.5740312688858373,0
Belville,5009,Valid,OC,548.0,Fell,1937.0,-32.33333,-64.86667,2.7387805592768775,0
Benares (a),5011,Valid,LL4,3700.0,Fell,1798.0,25.36667,82.91667,3.5682017241843718,0
Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,3.248095931339425,0
Benoni,5023,Valid,H6,3880.0,Fell,1943.0,-26.16667,28.41667,3.5888317257061386,0
Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,3.4533183401999583,0
Béréba,5028,Valid,Eucrite-mmict,18000.0,Fell,1924.0,11.65,-3.65,4.255272505127434,0
Berlanguillas,5029,Valid,L6,1440.0,Fell,1811.0,41.68333,-3.8,3.158362492396843,0
Bethlehem,5032,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,1.1430148314983013,0
Beuste,5034,Valid,L5,2000.0,Fell,1859.0,43.21667,-0.23333,3.3010299958811284,0
Beyrout,5035,Valid,LL3.8,1100.0,Fell,1921.0,33.88333,35.5,3.0413926855530384,0
Bhagur,5037,Valid,L6,18.0,Fell,1877.0,20.88333,74.83333,1.2552725292307767,0
Bherai,5039,Valid,L6,100.0,Fell,1893.0,20.83333,71.46667,2.0000000043429447,0
Bhola,5040,Valid,LL3-6,1047.0,Fell,1940.0,22.68333,90.65,3.019946682093641,0
Bholghati,5041,Valid,Howardite,2500.0,Fell,1905.0,22.08333,86.9,3.3979400088457554,0
Bialystok,5042,Valid,Eucrite-pmict,4000.0,Fell,1827.0,53.1,23.2,3.602059991436536,0
Bielokrynitschie,5043,Valid,H4,1900.0,Fell,1887.0,50.13333,27.16667,3.278753601181405,0
Birni N'konni,5056,Valid,H4,560.0,Fell,1923.0,13.76667,5.3,2.748188027781726,0
Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,3.778151250456026,0
Bishunpur,5060,Valid,LL3.15,1039.0,Fell,1895.0,25.38333,82.6,3.0166155479751704,0
Bjelaja Zerkov,5063,Valid,H6,1850.0,Fell,1796.0,49.78333,30.16667,3.2671717286377677,0
Bjurböle,5064,Valid,L/LL4,330000.0,Fell,1899.0,60.4,25.8,5.518513939879203,0
Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,2.8481891176074194,0
Blackwell,5068,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,3.3767593955872797,0
Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,3.707570176183092,0
Blansko,5072,Valid,H6,470.0,Fell,1833.0,49.36667,16.63333,2.672097858859748,0
Bloomington,5076,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,1.8312297002725866,0
Bocas,5093,Valid,L6,56.0,Fell,1804.0,23.0,-102.0,1.748188034761459,0
Bogou,5097,Valid,"Iron, IAB-MG",8800.0,Fell,1962.0,12.5,0.7,3.9444826721995203,0
Boguslavka,5098,Valid,"Iron, IIAB",256000.0,Fell,1916.0,44.55,131.63333,5.4082399653135464,0
Borgo San Donino,5110,Valid,LL6,1676.0,Fell,1808.0,44.86667,10.05,3.2242740145533832,0
Bori,5111,Valid,L6,8600.0,Fell,1894.0,21.95,78.03333,3.934498451294067,0
Boriskino,5112,Valid,CM2,1342.0,Fell,1930.0,54.23333,52.48333,3.1277525161565904,0
Borkut,5113,Valid,L5,7000.0,Fell,1852.0,48.15,24.28333,3.845098040076299,0
Borodino,5114,Valid,H5,500.0,Fell,1812.0,55.46667,35.86667,2.698970005204608,0
Botschetschki,5117,Valid,L4,614.0,Fell,1823.0,51.33333,33.88333,2.7881683718484878,0
Bovedy,5121,Valid,L3,5460.0,Fell,1969.0,54.56667,-6.33333,3.7371926427842785,0
Bradford Woods,5128,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,2.8819549719095408,0
Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,1847.0,50.6,16.3,4.591064607037635,0
Breitscheid,5134,Valid,H5,1500.0,Fell,1956.0,50.66694,8.18361,3.176091259345211,0
Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,3.8603380066308963,0
Brient,5140,Valid,Eucrite-pmict,219.0,Fell,1933.0,52.13333,59.31667,2.340444116823198,0
Bruderheim,5156,Valid,L6,303000.0,Fell,1960.0,53.9,-112.88333,5.481442628503738,0
Bununu,5165,Valid,Howardite,357.0,Fell,1942.0,10.01667,9.58333,2.5526682173287045,0
Bur-Gheluai,5169,Valid,H5,120000.0,Fell,1919.0,5.0,48.0,5.0791812460512435,0
Bursa,5177,Valid,L6,25000.0,Fell,1946.0,40.2,29.23333,4.397940008689409,0
Buschhof,5178,Valid,L6,5000.0,Fell,1863.0,46.45,25.78333,3.6989700044228777,0
Bustee,5181,Valid,Aubrite,1500.0,Fell,1852.0,26.78333,82.83333,3.176091259345211,0
Butsura,5183,Valid,H6,29000.0,Fell,1861.0,27.08333,84.08333,4.462397997913932,0
Cabezo de Mayo,5185,Valid,L/LL6,25000.0,Fell,1870.0,37.98333,-1.16667,4.397940008689409,0
Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,4.685741738611219,0
Cacak,5187,Valid,OC,212.0,Fell,1919.0,43.83889,20.33333,2.3263358629773103,0
Calivo,5200,Valid,Stone-uncl,2400.0,Fell,1916.0,11.75,122.33333,3.380211241892562,0
Çanakkale,5250,Valid,L6,4000.0,Fell,1964.0,39.8,26.6,3.602059991436536,0
Cañellas,5251,Valid,H4,945.0,Fell,1861.0,41.25,1.66667,2.9754318089688336,0
Cangas de Onis,5252,Valid,H5,34000.0,Fell,1866.0,43.38333,-5.15,4.531478917055028,0
Canon City,5253,Valid,H6,1400.0,Fell,1973.0,38.47028,-105.24139,3.1461280359884483,0
Cape Girardeau,5260,Valid,H6,2300.0,Fell,1846.0,37.26667,-89.58333,3.3617278362064167,0
Capilla del Monte,5264,Valid,H6,750.0,Fell,1934.0,-30.88333,-64.55,2.8750612639707596,0
Caratash,5265,Valid,LL6,8.0,Fell,1902.0,38.5,27.0,0.9030900412787504,0
Castalia,5291,Valid,H5,7300.0,Fell,1874.0,36.08333,-78.06667,3.8633228601799483,0
Castel Berardenga,5292,Valid,Stone-uncl,1915.0,Fell,1791.0,43.35,11.5,3.2821687785314273,0
Castine,5293,Valid,L6,94.0,Fell,1848.0,44.38333,-68.75,1.9731278582198526,0
Caswell County,5296,Valid,OC,1360.0,Fell,1810.0,36.5,-79.25,3.1335389086895518,0
Centerville,5307,Valid,H5,45.6,Fell,1956.0,43.2,-96.91667,1.6589648521884366,0
Cereseto,5308,Valid,H5,6460.0,Fell,1840.0,45.08333,8.3,3.8102325180623122,0
Chail,5314,Valid,H6,0.5,Fell,1814.0,25.36667,81.66667,-0.30102912707588597,0
Chainpur,5315,Valid,LL3.4,8200.0,Fell,1907.0,25.85,83.48333,3.9138138524366792,0
Chajari,5316,Valid,L5,18300.0,Fell,1933.0,-30.78333,-58.05,4.262451089754161,0
Chandakapur,5320,Valid,L5,8800.0,Fell,1838.0,20.26667,76.01667,3.9444826721995203,0
Chandpur,5321,Valid,L6,1100.0,Fell,1885.0,27.28333,79.05,3.0413926855530384,0
Chantonnay,5325,Valid,L6,31500.0,Fell,1812.0,46.68333,1.05,4.498310553803387,0
Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,1835.0,36.16667,-87.33333,3.6334684556805854,0
Charsonville,5329,Valid,H6,27000.0,Fell,1810.0,47.93333,1.56667,4.431363764175073,0
Charwallas,5330,Valid,H6,12000.0,Fell,1834.0,29.48333,75.5,4.079181246083816,0
Chassigny,5331,Valid,Martian (chassignite),4000.0,Fell,1815.0,47.71667,5.36667,3.602059991436536,0
Château-Renard,5332,Valid,L6,30000.0,Fell,1841.0,47.93333,2.91667,4.477121254734139,0
Chaves,5334,Valid,Howardite,2945.0,Fell,1925.0,41.93333,-7.46667,3.469085299270589,0
Chernyi Bor,5339,Valid,H4,6000.0,Fell,1964.0,53.7,30.1,3.778151250456026,0
Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,3.9242792861135833,0
Chervettaz,5341,Valid,L5,705.0,Fell,1901.0,46.55,6.81667,2.8481891176074194,0
Chervony Kut,5342,Valid,Eucrite-mmict,1700.0,Fell,1939.0,50.83333,34.0,3.2304489216337413,0
Chetrinahatti,5344,Valid,Stone-uncl,72.0,Fell,1880.0,14.5,76.5,1.8573325024631362,0
Chicora,5349,Valid,LL6,303.0,Fell,1938.0,40.93333,-79.73333,2.48144262993562,0
Chitado,5356,Valid,L6,33.0,Fell,1966.0,-17.35,13.96667,1.518513953038326,0
Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917.0,44.9,-90.28333,5.017033339302956,0
Cold Bokkeveld,5397,Valid,CM2,5200.0,Fell,1838.0,-33.13333,19.38333,3.7160033437183175,0
Collescipoli,5403,Valid,H5,5000.0,Fell,1890.0,42.53333,12.61667,3.6989700044228777,0
Conquista,5418,Valid,H4,20350.0,Fell,1965.0,-19.85,-47.55,4.30856441358258,0
Cosina,5451,Valid,H5,1200.0,Fell,1844.0,21.16667,-100.86667,3.079181246409537,0
Cranganore,5465,Valid,L6,1460.0,Fell,1917.0,10.2,76.26667,3.164352856081899,0
Crescent,5470,Valid,CM2,78.4,Fell,1936.0,35.95,-97.58333,1.8943160682239089,0
Cronstad,5474,Valid,H5,3650.0,Fell,1877.0,-27.7,27.3,3.5622928645754595,0
Cross Roads,5476,Valid,H5,167.0,Fell,1892.0,35.63333,-78.13333,2.222716473748149,0
Crumlin,5477,Valid,L5,4255.0,Fell,1902.0,54.61667,-6.21667,3.6288995645226736,0
Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919.0,36.83333,-84.35,4.230448921403821,0
Cynthiana,5500,Valid,L/LL4,6000.0,Fell,1877.0,38.4,-84.25,3.778151250456026,0
Dandapur,5511,Valid,L6,5650.0,Fell,1878.0,26.91667,83.96667,3.7520484478963048,0
Daniel's Kuil,5513,Valid,EL6,1064.0,Fell,1868.0,-28.2,24.56667,3.026941628367201,0
Danville,5514,Valid,L6,2000.0,Fell,1868.0,34.4,-87.06667,3.3010299958811284,0
Darmstadt,6603,Valid,H5,100.0,Fell,1804.0,49.86667,8.65,2.0000000043429447,0
De Cewsville,6621,Valid,H6,340.0,Fell,1887.0,43.0,-80.0,2.531478918319592,0
Deal,6634,Valid,L6,28.0,Fell,1829.0,40.25,-74.0,1.447158046852736,0
Delhi,6642,Valid,L5,0.8,Fell,1897.0,28.56667,77.25,-0.09690947014029329,0
Demina,6649,Valid,L6,16400.0,Fell,1911.0,51.46667,84.76667,4.214843848074179,0
Denver,6660,Valid,L6,230.0,Fell,1967.0,39.7825,-104.93056,2.3617278379058297,0
Desuri,6693,Valid,H6,25400.0,Fell,1962.0,25.73333,73.61667,4.404833716637036,0
Dharwar,6699,Valid,OC,1800.0,Fell,1848.0,14.88333,75.6,3.255272505344581,0
Dhurmsala,7640,Valid,LL6,32000.0,Fell,1860.0,32.23333,76.46667,4.505149978333478,0
Diep River,7642,Valid,L6,1000.0,Fell,1906.0,-33.75,18.56667,3.0000000004342944,0
Distrito Quebracho,7649,Valid,H4,400.0,Fell,1957.0,-31.88333,-60.46667,2.6020599924136985,0
Djati-Pengilon,7652,Valid,H6,166000.0,Fell,1884.0,-7.5,111.5,5.220108088042672,0
Djermaia,7656,Valid,H,3950.0,Fell,1961.0,12.73333,15.05,3.596597095736408,0
Dokachi,7658,Valid,H5,3840.0,Fell,1903.0,23.5,90.33333,3.5843312244806285,0
Dolgovoli,7659,Valid,L6,1600.0,Fell,1864.0,50.75,25.3,3.204119982927359,0
Domanitch,7661,Valid,L5,438.0,Fell,1907.0,40.0,29.0,2.6414741114956395,0
Donga Kohrod,7707,Valid,H6,230.0,Fell,1899.0,21.86667,82.45,2.3617278379058297,0
Dongtai,7708,Valid,LL6,5500.0,Fell,1970.0,32.91667,120.78333,3.7403626895732067,0
Doroninsk,7718,Valid,H5-7,3891.0,Fell,1805.0,51.2,112.3,3.5900612309153574,0
Dosso,7722,Valid,L6,1250.0,Fell,1962.0,13.05,3.16667,3.096910013355492,0
Douar Mghila,7723,Valid,LL6,1161.0,Fell,1932.0,32.33333,-6.3,3.0648322201126432,0
Drake Creek,7728,Valid,L6,5000.0,Fell,1827.0,36.4,-86.5,3.6989700044228777,0
Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939.0,42.52,-82.26,4.678518379049218,0
Dubrovnik,7736,Valid,L3-6,1900.0,Fell,1951.0,42.45833,18.44167,3.278753601181405,0
Dundrum,7745,Valid,H5,2270.0,Fell,1865.0,52.55,-8.03333,3.356025857384442,0
Durala,7750,Valid,L6,13200.0,Fell,1815.0,30.3,76.63333,4.120573931238751,0
Duruma,7752,Valid,L6,577.0,Fell,1853.0,-4.0,39.5,2.7611758139084084,0
Duwun,7754,Valid,L6,2117.0,Fell,1943.0,33.43333,127.26667,3.325720858224558,0
Dwaleni,7755,Valid,H4-6,3230.0,Fell,1970.0,-27.2,31.31667,3.5092025224655594,0
Dyalpur,7757,Valid,Ureilite,300.0,Fell,1872.0,26.25,82.0,2.477121256167311,0
Dyarrl Island,7758,Valid,Mesosiderite-A1,188.0,Fell,1933.0,-3.0,151.0,2.274157851573757,0
Eagle,7760,Valid,EL6,10000.0,Fell,1947.0,40.78167,-96.47167,4.000000000043429,0
Ehole,7774,Valid,H5,2400.0,Fell,1961.0,-17.3,15.83333,3.380211241892562,0
Eichstädt,7775,Valid,H5,3000.0,Fell,1785.0,48.9,11.21667,3.4771212548644272,0
Ekeby,7776,Valid,H4,3336.0,Fell,1939.0,56.03333,13.0,3.523226042095885,0
Ekh Khera,7777,Valid,H6,840.0,Fell,1916.0,28.26667,78.78333,2.9242792865788987,0
Elenovka,7824,Valid,L5,54640.0,Fell,1951.0,47.83333,37.66667,4.737510690681424,0
Ellemeet,10019,Valid,Diogenite,1470.0,Fell,1925.0,51.75,4.0,3.1673173350436143,0
Emmaville,10033,Valid,Eucrite-mmict,127.0,Fell,1900.0,-29.46667,151.61667,2.1038037243755983,0
Épinal,10041,Valid,H5,277.0,Fell,1822.0,48.18333,6.46667,2.4424797706322985,0
Erakot,10042,Valid,CM2,113.0,Fell,1940.0,19.03333,81.89167,2.0530784473267336,0
Erevan,10043,Valid,Howardite,107.2,Fell,1911.0,40.3,44.5,2.0301947894080055,0
Ergheo,10044,Valid,L5,20000.0,Fell,1889.0,1.16667,44.16667,4.301029995685696,0
Erxleben,10049,Valid,H6,2250.0,Fell,1812.0,52.21667,11.25,3.352182518304382,0
Esnandes,10051,Valid,L6,1500.0,Fell,1837.0,46.25,-1.1,3.176091259345211,0
Essebi,10055,Valid,C2-ung,500.0,Fell,1957.0,2.88333,30.83333,2.698970005204608,0
Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,Fell,1879.0,43.41667,-94.83333,5.505149978321263,0
Farmington,10074,Valid,L5,89400.0,Fell,1890.0,39.75,-97.03333,4.951337518800775,0
Farmville,10075,Valid,H4,56000.0,Fell,1934.0,35.55,-77.53333,4.748188027013955,0
Favars,10078,Valid,H5,1500.0,Fell,1844.0,44.38333,2.81667,3.176091259345211,0
Fayetteville,10079,Valid,H4,2360.0,Fell,1934.0,36.05,-94.16667,3.3729120031541298,0
Feid Chair,10080,Valid,H4,380.0,Fell,1875.0,36.88333,8.45,2.5797835977596906,0
Felix,10081,Valid,CO3.3,3200.0,Fell,1900.0,32.53333,-87.16667,3.505149978455623,0
Fenghsien-Ku,10086,Valid,H5,82.0,Fell,1924.0,34.6,116.75,1.9138138576799908,0
Ferguson,10088,Valid,OC,220.0,Fell,1889.0,36.1,-81.41667,2.342422682796272,0
Fisher,10107,Valid,L6,17600.0,Fell,1894.0,47.81667,-96.85,4.245512667838826,0
Florence,10111,Valid,H3,3640.0,Fell,1922.0,30.83333,-97.76667,3.5611013837683676,0
Forest City,10119,Valid,H5,152000.0,Fell,1890.0,43.25,-93.66667,5.18184358794763,0
Forest Vale,10120,Valid,H4,26000.0,Fell,1942.0,-33.35,146.85833,4.414973347987521,0
Forksville,10123,Valid,L6,6067.0,Fell,1924.0,36.78333,-78.08333,3.7829739950156314,0
Forsbach,10163,Valid,H6,240.0,Fell,1900.0,50.95,7.31667,2.3802112435211664,0
Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667,4.212187604430602,0
Fort Flatters,10166,Valid,Stone-uncl,1915.0,Fell,1944.0,28.25,7.0,3.2821687785314273,0
Frankfort (stone),10177,Valid,Howardite,650.0,Fell,1868.0,34.48333,-87.83333,2.812913357311001,0
Fuhe,52412,Valid,L5,23000.0,Fell,1945.0,31.47556,113.56694,4.361727836036475,0
Fukutomi,10836,Valid,L5,11620.0,Fell,1882.0,33.18333,130.2,4.0652061280916865,0
Futtehpur,10839,Valid,L6,4000.0,Fell,1822.0,25.95,80.81667,3.602059991436536,0
Galapian,10846,Valid,H6,132.7,Fell,1826.0,44.3,0.4,2.12287092613719,0
Galim (a),10848,Valid,LL6,36.1,Fell,1952.0,7.05,12.43333,1.5575072139359758,0
Galim (b),10849,Valid,EH3/4-an,28.0,Fell,1952.0,7.05,12.43333,1.447158046852736,0
Gambat,10851,Valid,L6,6400.0,Fell,1897.0,27.35,68.53333,3.8061799740517457,0
Gao-Guenie,10854,Valid,H5,24.19,Fell,1960.0,11.65,-2.18333,1.383635886315351,0
Garhi Yasin,10860,Valid,"Iron, IIE",380.0,Fell,1917.0,27.88333,68.53333,2.5797835977596906,0
Garland,10861,Valid,Diogenite-pm,102.0,Fell,1950.0,41.68333,-112.13333,2.0086001760197068,0
Geidam,10870,Valid,H5,725.0,Fell,1950.0,12.91667,11.91667,2.8603380071700206,0
Gifu,10914,Valid,L6,14290.0,Fell,1909.0,35.53333,136.88333,4.155032228821362,0
Girgenti,10917,Valid,L6,18000.0,Fell,1853.0,37.31667,13.56667,4.255272505127434,0
Git-Git,10919,Valid,L6,480.0,Fell,1947.0,9.6,9.91667,2.6812412382803674,0
Glanggang,10924,Valid,H5-6,1303.0,Fell,1939.0,-7.25,107.7,3.1149444160458883,0
Glasatovo,10926,Valid,H4,152000.0,Fell,1918.0,57.35,37.61667,5.18184358794763,0
Gnadenfrei,10936,Valid,H5,1750.0,Fell,1879.0,50.66667,16.76667,3.2430380489344626,0
Gopalpur,10948,Valid,H6,1600.0,Fell,1865.0,24.23333,89.05,3.204119982927359,0
Granes,10956,Valid,L6,9000.0,Fell,1964.0,42.9,2.25,3.95424250948758,0
Grosnaja,11206,Valid,CV3,3500.0,Fell,1861.0,43.66667,45.38333,3.5440680444743595,0
Gross-Divina,11207,Valid,H5,10500.0,Fell,1837.0,49.26667,18.71667,4.0211892991113,0
Grossliebenthal,11208,Valid,L6,8000.0,Fell,1881.0,46.35,30.58333,3.9030899870462306,0
Grüneberg,11426,Valid,H4,1000.0,Fell,1841.0,51.93333,15.5,3.0000000004342944,0
Grzempach,11429,Valid,H5,690.0,Fell,1910.0,52.86667,16.63333,2.8388490913666677,0
Gualeguaychú,11432,Valid,H6,22000.0,Fell,1932.0,-33.0,-58.61667,4.342422680841947,0
Guareña,11439,Valid,H6,39000.0,Fell,1892.0,38.73333,-6.01667,4.591064607037635,0
Guêa,11440,Valid,Stone-uncl,1915.0,Fell,1891.0,43.76667,20.23333,3.2821687785314273,0
Guibga,11442,Valid,L5,288.0,Fell,1972.0,13.5,-0.68333,2.4593924892671977,0
Guidder,11443,Valid,LL5,968.0,Fell,1949.0,9.91667,13.98333,2.985875357757045,0
Gumoschnik,11450,Valid,H5,5700.0,Fell,1904.0,42.9,24.7,3.7558748557486834,0
Gurram Konda,11464,Valid,L6,28.0,Fell,1814.0,13.78333,78.56667,1.447158046852736,0
Gütersloh,11466,Valid,H3/4,1000.0,Fell,1851.0,51.91667,8.38333,3.0000000004342944,0
Gyokukei,11467,Valid,OC,1320.0,Fell,1930.0,35.0,127.5,3.120573931534861,0
