name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass,is_outlier
Manlai,15407,Valid,"Iron, ungrouped",166800.0,Found,1954.0,44.33333,106.5,5.222196046304323,0
Mantos Blancos,15408,Valid,"Iron, IVA",10300.0,Found,1876.0,-23.45,-70.11667,4.0128372247473365,0
Mapleton,15410,Valid,"Iron, IIIAB",49000.0,Found,1939.0,42.18333,-95.71667,4.690196080037377,0
Marburg,15413,Valid,Pallasite,3000.0,Found,1906.0,50.81667,8.76667,3.4771212548644272,0
Maria Elena (1935),15417,Valid,"Iron, IVA",15500.0,Found,1935.0,-22.33333,-69.66667,4.19033169819831,0
Marion (Kansas),15425,Valid,L5,2890.0,Found,1955.0,38.36667,-97.03333,3.4608978429068227,0
Markovka,15427,Valid,H4,54200.0,Found,1967.0,52.4,79.8,4.7339992865464,0
Marlow,15428,Valid,L5,68000.0,Found,1936.0,34.6,-97.91667,4.832508912712623,0
Marshall County,15433,Valid,"Iron, IIIAB",6800.0,Found,1860.0,37.0,-88.25,3.8325089127701033,0
Marsland,15434,Valid,H5,6850.0,Found,1933.0,42.45,-103.3,3.8356905715558263,0
Mart,15435,Valid,"Iron, IVA",7140.0,Found,1898.0,31.5,-96.88333,3.853698211837,0
Massenya,15442,Valid,H5,612.4,Found,1958.0,11.35,16.15,2.787035182735391,0
Mayday,15448,Valid,H4,6900.0,Found,1955.0,39.47444,-96.925,3.8388490908001964,0
Mayerthorpe,15449,Valid,"Iron, IAB complex",12610.0,Found,1964.0,53.775,-115.03333,4.100715086607522,0
Mayfield,15450,Valid,H4,38400.0,Found,1972.0,37.30833,-97.545,4.5843312243788406,0
Mayodan,15452,Valid,"Iron, IIAB",15400.0,Found,1920.0,36.38333,-79.86667,4.187520720864664,0
Mbosi,15456,Valid,"Iron, ungrouped",16000000.0,Found,1930.0,-9.11667,33.06667,7.204119982655952,1
McAddo,15457,Valid,L6,1100.0,Found,1935.0,33.75,-100.93333,3.0413926855530384,0
McCook,15459,Valid,L6,3602.0,Found,1965.0,40.02,-100.78333,3.5565437086040848,0
McKinney,15463,Valid,L4,150000.0,Found,1870.0,33.18333,-96.71667,5.176091259058577,0
McLean,15464,Valid,H6,4300.0,Found,1939.0,35.23333,-100.6,3.6334684556805854,0
Mejillones,15472,Valid,"Iron, IIAB",14830.0,Found,1875.0,-23.1,-70.5,4.171141151057667,0
Mellenbye,15473,Valid,LL6,1181.6,Found,1929.0,-28.85,116.28333,3.072470482671441,0
Melrose (a),15475,Valid,L5,36400.0,Found,1933.0,34.38333,-103.61667,4.561101383660987,0
Melrose (b),15476,Valid,Howardite,50.5,Found,1971.0,34.39833,-103.605,1.703291386718552,0
Melvern Lake,15477,Valid,H5,7746.0,Found,1950.0,38.525,-95.78056,3.889077492706131,0
Menindee Lakes 001,15479,Valid,L6,747.0,Found,1969.0,-33.16667,141.75,2.8733206023967837,0
Menindee Lakes 002,15480,Valid,H5,270.0,Found,1969.0,-32.91667,141.88333,2.4313637657674856,0
Menindee Lakes 003,15481,Valid,L6,172.0,Found,1969.0,-32.91667,141.88333,2.235528449432517,0
Menindee Lakes 004,15482,Valid,L6,158.5,Found,1969.0,-33.13333,141.71667,2.2000292692937986,0
Menindee Lakes 005,15483,Valid,H5,72.9,Found,1969.0,-32.91667,141.88333,1.8627275342753749,0
Menindee Lakes 006,15484,Valid,H6,68.2,Found,1969.0,-32.91667,141.88333,1.8337843810244332,0
Merceditas,15487,Valid,"Iron, IIIAB",42900.0,Found,1884.0,-26.33333,-70.28333,4.6324572921948475,0
Mereta,15488,Valid,H4,1417.5,Found,1941.0,31.42611,-100.13333,3.1515230678713246,0
Mertzon,15490,Valid,"Iron, IAB-ung",3720.0,Found,1943.0,31.26667,-100.83333,3.5705429399986435,0
Mesa Verde Park,15494,Valid,"Iron, IAB-ung",3500.0,Found,1922.0,37.16667,-108.5,3.5440680444743595,0
Metsäkylä,16625,Valid,H4,1200.0,Found,1938.0,60.65,27.06667,3.079181246409537,0
