name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass
Springfield,23689,Valid,L6,3200.0,Found,1937.0,37.38333,-102.63333,3.505149978455623
Eva,10066,Valid,H5,6700.0,Found,1965.0,36.81667,-101.90833,3.8260748027656466
Colorado Springs,5408,Valid,Iron,462.0,Found,1950.0,38.83333,-104.83333,2.664641976496157
Roosevelt County 062,22717,Valid,H5,16.2,Found,1969.0,34.21667,-103.5,1.2095150413509315
Olton,18016,Valid,H3.5,953.0,Found,1948.0,34.16722,-102.13361,2.9790929010940395
Frankfort (stone),10177,Valid,Howardite,650.0,Fell,1868.0,34.48333,-87.83333,2.812913357311001
Leighton,12760,Valid,H5,877.0,Fell,1907.0,34.58333,-87.5,2.942999593861245
Texline,23906,Valid,H5,26200.0,Found,1937.0,36.4,-103.01667,4.418301291336322
Nan Yang Pao,16903,Valid,L6,52900.0,Fell,1917.0,35.66667,103.5,4.723455672043396
Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,3.707570176183092
Grosnaja,11206,Valid,CV3,3500.0,Fell,1861.0,43.66667,45.38333,3.5440680444743595
Leedey,12755,Valid,L6,51500.0,Fell,1943.0,35.88333,-99.33333,4.711807229049624
Mabwe-Khoywa,14764,Valid,L5,540.0,Fell,1937.0,19.0,97.0,2.7323937606272177
Weaver Mountains,24227,Valid,"Iron, IVB",38800.0,Found,1898.0,34.25,-112.75,4.5888317256054005
Tamarugal,23794,Valid,"Iron, IIIAB",320000.0,Found,1903.0,-20.8,-69.66667,5.505149978321263
Djermaia,7656,Valid,H,3950.0,Fell,1961.0,12.73333,15.05,3.596597095736408
Tafoya (b),23781,Valid,H5,490.0,Found,1951.0,36.45,-104.1,2.690196080914829
Zerkaly,31354,Valid,H5,16000.0,Found,1956.0,52.13333,81.96667,4.204119982683068
Gretna,11201,Valid,L5,82000.0,Found,1912.0,39.93333,-99.21667,4.913813852389013
Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,1928.0,34.16667,131.45,-0.9999956570768955
Cullison,5495,Valid,H4,10000.0,Found,1911.0,37.61667,-98.91667,4.000000000043429
Douar Mghila,7723,Valid,LL6,1161.0,Fell,1932.0,32.33333,-6.3,3.0648322201126432
Perpeti,18793,Valid,L6,23474.0,Fell,1935.0,23.325,91.0,4.370587100265177
Kinclaven 001,12313,Valid,L5,17.3,Found,1973.0,-30.46667,125.7,1.238046128232522
Khmelevka,12297,Valid,L5,6109.0,Fell,1929.0,56.75,75.33333,3.7859701252031006
Cimarron,5365,Valid,CM2,9.64,Found,1948.0,37.85,-100.35,0.9840770789541232
Kenna (b),12278,Valid,L5,453.0,Found,1972.0,33.70833,-103.76667,2.656098202971539
Lucerne Valley 010,14734,Valid,H4,6.4,Found,1965.0,34.5,-116.95,0.8061800418423947
Tamir-Tsetserleg,23799,Valid,Stone-uncl,173000.0,Found,1956.0,47.45,101.47917,5.238046103131306
Cortez,5449,Valid,H6,715.6,Found,1940.0,37.35,-108.68333,2.854670332502231
Karagai,12255,Valid,L6,115.0,Found,1900.0,51.11667,57.91667,2.0606978441300856
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,4.013763854776007
Lucé,14724,Valid,L6,3500.0,Fell,1768.0,47.85,0.48333,3.5440680444743595
Tibooburra,23986,Valid,CV3,18.6,Found,1970.0,-29.43333,142.01667,1.2695129675670813
Ergheo,10044,Valid,L5,20000.0,Fell,1889.0,1.16667,44.16667,4.301029995685696
Harleton,11830,Valid,L6,8360.0,Fell,1961.0,32.675,-94.51167,3.9222062774909654
Oasis State Park,17974,Valid,OC,606.0,Found,1968.0,34.22833,-103.35833,2.782472624882944
Ohaba,17995,Valid,H5,16250.0,Fell,1857.0,46.06667,23.58333,4.210853365341619
Näs,16919,Valid,LL6,375.0,Found,1907.0,59.18333,12.21667,2.5740312688858373
Palahatchie,18073,Valid,OC,548.0,Fell,1910.0,32.31667,-89.71667,2.7387805592768775
Chupaderos,5363,Valid,"Iron, IIIAB",24300000.0,Found,1852.0,27.0,-105.1,7.38560627359833
Republican River,22591,Valid,H4,135.0,Found,1942.0,40.08333,-98.91667,2.130333771712002
Ternera,23903,Valid,"Iron, IVB",1980.0,Found,1891.0,-27.33333,-69.8,3.296665190480872
Kodaikanal,12338,Valid,"Iron, IIE",15900.0,Found,1898.0,10.26667,77.4,4.201397124347766
Otto,18047,Valid,H5,28.0,Found,1970.0,35.16667,-105.98333,1.447158046852736
Roosevelt County 047,22702,Valid,L6,30.3,Found,1970.0,34.13333,-103.36667,1.481442642835456
Lanton,12463,Valid,"Iron, IIIAB",13780.0,Found,1932.0,36.53333,-91.8,4.1392492176031235
Drum Mountains,7733,Valid,"Iron, IIIAB",529000.0,Found,1944.0,39.5,-112.9,5.723455672036007
Chesterville,5343,Valid,"Iron, IIAB",16500.0,Found,1849.0,34.7,-81.2,4.217483944240227
Murfreesboro,16877,Valid,"Iron, ungrouped",8600.0,Found,1847.0,35.83333,-86.41667,3.934498451294067
Delegate,6641,Valid,"Iron, IIIAB-an",27700.0,Found,1904.0,-37.0,149.03333,4.442479769080127
Ornans,18030,Valid,CO3.4,6000.0,Fell,1868.0,47.11667,6.15,3.778151250456026
Hawk Springs,11862,Valid,H5,367.0,Found,1935.0,41.78333,-104.28333,2.564666065435453
Kapunda,12254,Valid,"Iron, IIIAB",542.0,Found,1965.0,-34.31667,138.93333,2.7339992873396683
Yamato 7304,24370,Valid,L6,500.0,Found,1973.0,-71.5,35.66667,2.698970005204608
Roosevelt County 035,22690,Valid,L6,81.59999999999998,Found,1968.0,34.08333,-103.61667,1.9116901640760973
Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667,4.212187604430602
Ngawi,16966,Valid,LL3.6,1393.0,Fell,1883.0,-7.45,111.41667,3.1439511167357326
Zemaitkiemis,30399,Valid,L6,44100.0,Fell,1933.0,55.3,25.0,4.644438589477686
Wallareenya,24207,Valid,"Iron, IIIAB",4386.0,Found,1965.0,-20.66667,118.83333,3.6420686274405223
Kybunga,12388,Valid,L5,7900.0,Found,1956.0,-33.9,138.48333,3.8976270913454156
Girgenti,10917,Valid,L6,18000.0,Fell,1853.0,37.31667,13.56667,4.255272505127434
Fillmore,10093,Valid,Iron,113.0,Found,1916.0,49.883333,-103.6,2.0530784473267336
Jiddat al Harasis,12089,Valid,H4,1400.0,Found,1957.0,19.25,56.06667,3.1461280359884483
Ahumada,419,Valid,"Pallasite, PMG",52600.0,Found,1909.0,30.7,-105.5,4.720985744161996
Malaga,15393,Valid,OC,150.0,Fell,1933.0,32.21667,-104.0,2.176091261950978
Delhi,6642,Valid,L5,0.8,Fell,1897.0,28.56667,77.25,-0.09690947014029329
Alamosa,450,Valid,L6,1800.0,Found,1937.0,37.46667,-105.86667,3.255272505344581
Araslanovo,2324,Valid,L/LL5,132000.0,Found,1973.0,55.14167,48.2,5.12057393120914
Millbillillie,16643,Valid,Eucrite-mmict,330000.0,Fell,1960.0,-26.45,120.36667,5.518513939879203
Ekeby,7776,Valid,H4,3336.0,Fell,1939.0,56.03333,13.0,3.523226042095885
Goalpara,10938,Valid,Ureilite,2700.0,Found,1868.0,26.16667,90.6,3.431363764319837
Botschetschki,5117,Valid,L4,614.0,Fell,1823.0,51.33333,33.88333,2.7881683718484878
Morrill,16749,Valid,"Iron, IAB-an",1387.0,Found,1920.0,42.18333,-103.93333,3.1420764613864027
Guadaloupe County,11430,Valid,Iron,20.5,Found,1950.0,29.5,-98.0,1.3117538822408505
Enon,10037,Valid,"Iron, ungrouped",763.0,Found,1883.0,39.86667,-83.95,2.882524538524074
Capilla del Monte,5264,Valid,H6,750.0,Fell,1934.0,-30.88333,-64.55,2.8750612639707596
Shalka,23521,Valid,Diogenite,4000.0,Fell,1850.0,23.1,87.3,3.602059991436536
Oakley (iron),17972,Valid,"Iron, IIIF",111000.0,Found,1926.0,42.33333,-113.7,5.04532297879057
Punganaru,18902,Valid,Stone-uncl,100.0,Fell,1811.0,13.33333,78.95,2.0000000043429447
Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,2.4232458755756547
Maldyak,15396,Valid,"Iron, IIIAB",992.0,Found,1939.0,63.33333,148.16667,2.9965116725919754
Hajmah (c),11476,Valid,L5/6,1132.0,Found,1958.0,19.91667,56.25,3.053846427235905
St. Germain-du-Pinel,23087,Valid,H6,4000.0,Fell,1890.0,48.01667,-1.15,3.602059991436536
Kayakent,12268,Valid,"Iron, IIIAB",85000.0,Fell,1961.0,39.26333,31.78,4.929418925719402
Bishop Canyon,5058,Valid,"Iron, IVA",8600.0,Found,1912.0,38.0,-108.5,3.934498451294067
Fenghsien-Ku,10086,Valid,H5,82.0,Fell,1924.0,34.6,116.75,1.9138138576799908
Jenkins,12080,Valid,"Iron, IAB-MG",55400.0,Found,1946.0,36.82444,-93.76111,4.743509764736269
Makarewa,15392,Valid,L6,2300.0,Found,1879.0,-46.31667,168.4,3.3617278362064167
Wikieup,24260,Valid,H5,372.0,Found,1965.0,34.7,-113.6,2.570542941049356
Ohuma,17996,Valid,L5,7700.0,Fell,1963.0,6.75,8.5,3.886490725228884
Iron River,12048,Valid,"Iron, IVA",1420.0,Found,1889.0,46.07944,-88.55972,3.152288344688898
Muonionalusta,16873,Valid,"Iron, IVA",230000.0,Found,1906.0,67.8,23.1,5.361727836019481
Cuba,5479,Valid,"Iron, IAB?",1500.0,Found,1871.0,22.0,-80.0,3.176091259345211
